projectIndicator,projectNo,Score,program,Current Estimate ,r_curr_jan_2016,r_curr_feb_2016,r_curr_mar_2016,r_curr_apr_2016,r_curr_may_2016,r_curr_jun_2016,r_curr_jul_2016,r_curr_aug_2016,r_curr_sep_2016,r_curr_oct_2016,r_curr_nov_2016,r_curr_dec_2016,Roche,e_curr_jan_2016,e_curr_feb_2016,e_curr_mar_2016,e_curr_apr_2016,e_curr_may_2016,e_curr_jun_2016,e_curr_jul_2016,e_curr_aug_2016,e_curr_sep_2016,e_curr_oct_2016,e_curr_nov_2016,e_curr_dec_2016,External,Total,,r_t3_jan_2016 ,r_t3_feb_2016,r_t3_mar_2016,r_t3_apr_2016,r_t3_may_2016,r_t3_jun_2016,r_t3_jul_2016,r_t3_aug_2016,r_t3_sep_2016,r_t3_oct_2016,r_t3_nov_2016,r_t3_dec_2016,Roche,e_t3_jan_2016 ,e_t3_feb_2016,e_t3_mar_2016,e_t3_apr_2016,e_t3_may_2016,e_t3_jun_2016,e_t3_jul_2016,e_t3_aug_2016,e_t3_sep_2016,e_t3_oct_2016,e_t3_nov_2016,e_t3_dec_2016,External
Individual Project,82000,3.4,Reliability and Value,"$866,058 ",0,0,0,1.36,1.36,1.36,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0.68,4,4,4,4,4,4,3.5,3.5,3.5,0,0,0,2.88
Global,96121,#N/A,#N/A,"$32,000 ",0,0,0,1,1,1,0,0,0,0,0,0,0.25,0,0,0,1,1,1,0,0,0,0,0,0,0.25,0.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,96135,14.4,Highly Capable Workforce,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0.5,0.5,0.5,0.2,0.2,0.2,0,0,0,0,0,0,0.18,,,,,,,,,,,,,0
,96159,22.8,Fit for Purpose,"$150,000 ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Expense,97003,15.3,Reliability and Value,"$606,000 ",0,0,0,0,0,0,2.26,2.26,2.26,2.26,2.26,2.26,1.13,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.04,1.17,,2.26,2.26,2.26,2.26,2.26,0,0,0,0,0,0,0,0.94,2.67,2.67,2.67,2.67,1.59,0,0,0,0,0,0,0,1.02
Expense,97007,27.6,Reliability and Value,"$813,000 ",0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,0.63,0,0,0,0.1,0.1,0.1,1.99,1.99,1.99,3.97,3.97,3.97,1.51,2.14,,2.04,2.04,2.04,2.04,2.04,2.04,2.38,2.38,2.38,0.68,0.68,0.68,1.79,,,,,,,,,,,,,0
,97059,0,Reliability and Value,"$100,492 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.05,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05
,96174,3.6,TBD,"$130,000 ",0,0,0,0,0,0,0.2,0.11,0.03,0.03,0.05,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96215,20,Fit for Purpose,"$450,000 ",0,0,0,0,0,0,0,0,0,1,1,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,64777,#N/A,#N/A,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,,0.14,0.14,0.14,0.13,0.11,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09
Global,64786,#N/A,#N/A,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,,,,,,,,,,,,,0,0.05,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73328,#N/A,#N/A,$0 ,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73368,#N/A,#N/A,$0 ,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,73377,#N/A,#N/A,$0 ,2.4,2.5,2.4,2.1,0,0,0,0,0,0,0,0,0.78,,,,,,,,,,,,,0,0.78,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,73383,#N/A,#N/A,$0 ,0.45,0.31,0.18,0.05,0,0,0,0,0,0,0,0,0.08,1.22,0.93,0.2,0.03,0,0,0,0,0,0,0,0,0.2,0.28,,0.15,0.15,0.17,0.17,0.17,0.17,0.13,0.13,0.13,0.13,0.11,0.08,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.08,0.11
Global,73387,N/A,Reliability and Value,$0 ,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,,,,,,,,,,,,,0,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.5
Individual Project,73388,7.8,Launch and Commercial Excellence,$0 ,0.03,0.17,0.19,0.16,0.17,0.1,0.24,0.24,0.24,0.22,0.22,0.17,0.18,0,0,0,0.12,0.12,0.12,0.12,0.12,0.12,1.99,1.99,1.99,0.56,0.74,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74244,#N/A,#N/A,$0 ,0.8,0.86,0.81,0.72,0.72,0.12,0,0,0,0,0,0,0.34,6.91,6.5,6.03,5.59,2.49,1.81,1.2,0,0,0,0,0,2.54,2.88,,0.47,0.47,0.46,0.46,0.44,0.46,0.4,0.4,0.4,0.4,0.4,0.29,0.42,0.26,0.26,0.26,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.23,0.28
,74278,16.5,Fit for Purpose,$0 ,0,0,0,0,0,0,0,0,0,0.64,0.93,0.91,0.21,,,,,,,,,,,,,,,,0.61,0.37,0.32,0.32,0.31,0.32,0.36,0.72,0.94,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
